ID_1,Name,W1_mean,W1_sig,W2_mean,W2_sig,W4,W4_sig,Rad,Tdust,logLbol,LogMclump,logNH2,Dis,Fmax,Fmin,Var,Count,ref
663,323.766-1.370,10.147 ,0.018 ,9.088 ,0.015 ,0.351 ,0.017 ,0.07 ,17.5 ,1.76 ,1.26 ,22.29 ,18.04 ,2.7 ,2.7 ,1.0 ,1,MMB
665,323.799+0.017,7.942 ,0.018 ,3.861 ,0.013 ,--,--,0.73 ,24.5 ,4.31 ,3.17 ,22.43 ,3.23 ,4.3 ,4.3 ,1.0 ,1,MMB
677,326.662+0.520,7.287 ,0.016 ,2.892 ,0.015 ,--,--,0.47 ,22.7 ,3.77 ,2.36 ,22.91 ,2.94 ,29.1 ,15.0 ,1.9 ,2,"MMB,E07"
680,327.120+0.511,8.520 ,0.016 ,5.224 ,0.021 ,-1.909 ,0.005 ,0.77 ,29.6 ,4.60 ,3.02 ,22.73 ,7.36 ,90.0 ,60.0 ,1.5 ,5,"MMB,C95B,E96,M92A,W97"
687,327.590-0.094,11.710 ,0.039 ,10.027 ,0.020 ,0.570 ,0.010 ,0.45 ,19.4 ,3.19 ,2.88 ,22.44 ,6.61 ,5.2 ,3.2 ,1.6 ,2,"MMB,E96"
694,328.164+0.587,11.092 ,0.035 ,7.822 ,0.014 ,--,--,1.03 ,24.4 ,4.32 ,3.22 ,22.59 ,5.89 ,2.2 ,2.2 ,1.0 ,1,MMB
702,328.942+0.565,11.214 ,0.036 ,9.277 ,0.016 ,0.558 ,0.020 ,0.41 ,22.5 ,3.81 ,3.09 ,22.25 ,5.71 ,3.3 ,3.3 ,1.0 ,1,MMB
707,329.272+0.115,8.400 ,0.017 ,5.752 ,0.017 ,-1.669 ,0.028 ,0.44 ,33.3 ,4.06 ,2.59 ,22.16 ,9.55 ,2.0 ,2.0 ,1.0 ,1,MMB
709,329.341-0.644,9.009 ,0.017 ,6.147 ,0.015 ,0.868 ,0.013 ,--,17.3 ,--,--,22.35 ,5.08 ,3.0 ,3.0 ,1.0 ,1,MMB
715,329.610+0.114,9.802 ,0.019 ,6.133 ,0.015 ,-0.509 ,0.018 ,0.61 ,22.2 ,3.48 ,2.75 ,22.30 ,9.81 ,49.9 ,49.9 ,1.0 ,1,MMB
725,331.059+0.375,13.134 ,0.130 ,10.825 ,0.030 ,3.546 ,0.027 ,--,21.6 ,--,--,22.03 ,5.06 ,3.2 ,3.2 ,1.0 ,1,MMB
731,331.425+0.264,12.968 ,0.088 ,9.724 ,0.018 ,1.831 ,0.021 ,0.31 ,20.5 ,3.15 ,2.42 ,22.27 ,5.05 ,25.0 ,18.8 ,1.3 ,2,"MMB,E96"
732,331.437-0.304,7.952 ,0.026 ,5.066 ,0.024 ,1.030 ,0.021 ,0.19 ,24.6 ,3.09 ,2.20 ,21.95 ,5.01 ,8.0 ,8.0 ,1.0 ,1,MMB
734,331.542-0.066,8.513 ,0.021 ,6.146 ,0.017 ,--,--,--,--,--,--,--,5.02 ,7.0 ,7.0 ,1.0 ,1,MMB
735,331.543-0.066,8.564 ,0.024 ,6.139 ,0.018 ,--,--,1.91 ,33.0 ,5.72 ,3.71 ,22.77 ,5.02 ,16.0 ,11.0 ,1.5 ,3,"MMB,C95B,E96"
738,331.900-1.186,8.479 ,0.017 ,6.209 ,0.015 ,1.504 ,0.021 ,--,--,--,--,--,2.84 ,4.2 ,4.2 ,1.0 ,1,MMB
742,332.295+2.280,8.824 ,0.015 ,5.939 ,0.015 ,-1.939 ,0.002 ,--,--,--,--,--,1.21 ,147.0 ,147.0 ,1.0 ,1,MMB
743,332.351-0.436,12.080 ,0.115 ,9.590 ,0.021 ,3.969 ,0.065 ,0.94 ,18.3 ,3.48 ,3.03 ,22.68 ,10.48 ,6.8 ,6.8 ,1.0 ,1,MMB
745,332.364+0.607,9.615 ,0.018 ,7.833 ,0.012 ,1.410 ,0.019 ,0.65 ,19.7 ,3.27 ,2.57 ,22.66 ,2.89 ,1.1 ,1.1 ,1.0 ,1,MMB
749,332.653-0.621,9.312 ,0.034 ,7.983 ,0.023 ,--,--,--,--,--,--,--,2.95 ,7.1 ,5.1 ,1.4 ,3,"MMB,C95B,W97"
755,332.942-0.686,11.128 ,0.052 ,7.255 ,0.013 ,0.903 ,0.019 ,0.52 ,25.0 ,3.93 ,2.78 ,22.80 ,2.97 ,2.0 ,2.0 ,1.0 ,1,MMB
759,332.987-0.487,6.162 ,0.029 ,2.564 ,0.021 ,--,--,2.13 ,--,--,--,--,10.51 ,6.9 ,6.9 ,1.0 ,1,MMB
763,333.109-0.500,8.569 ,0.025 ,5.900 ,0.017 ,--,--,1.37 ,25.5 ,4.60 ,3.25 ,22.56 ,5.37 ,5.0 ,5.0 ,1.0 ,1,MMB
775,333.387+0.032,10.671 ,0.031 ,9.522 ,0.019 ,1.237 ,0.018 ,1.09 ,22.4 ,4.29 ,3.48 ,22.57 ,4.76 ,2.8 ,2.8 ,1.0 ,1,MMB
787,334.933-0.307,12.318 ,0.128 ,10.762 ,0.031 ,6.586 ,--,--,--,--,--,--,7.80 ,6.0 ,6.0 ,1.0 ,1,MMB
789,335.060-0.427,10.640 ,0.035 ,7.215 ,0.014 ,-0.349 ,0.020 ,1.09 ,22.7 ,4.02 ,3.05 ,23.03 ,2.74 ,78.0 ,78.0 ,1.0 ,1,MMB
