ID,Name,MJD,W1mag,W1mag err,W1flux,W1flux err,W2,W2 sig,W2flux,W2flux err
48,5.657+0.416,57102.1 ,8.815 ,0.018 ,92.062 ,1.657 ,5.624 ,0.023 ,966.830 ,22.140 
48,5.657+0.416,57279.2 ,8.778 ,0.021 ,95.260 ,1.971 ,5.528 ,0.022 ,1056.756 ,23.655 
48,5.657+0.416,57466.3 ,8.792 ,0.019 ,94.046 ,1.804 ,5.480 ,0.024 ,1104.331 ,26.805 
48,5.657+0.416,57637.9 ,8.724 ,0.019 ,100.129 ,1.927 ,5.277 ,0.024 ,1330.629 ,31.492 
48,5.657+0.416,57832.1 ,8.716 ,0.019 ,100.779 ,1.867 ,5.535 ,0.022 ,1049.926 ,23.209 
48,5.657+0.416,58001.0 ,8.764 ,0.020 ,96.507 ,1.970 ,5.434 ,0.022 ,1151.835 ,25.724 
48,5.657+0.416,58197.7 ,8.791 ,0.020 ,94.101 ,1.839 ,5.539 ,0.023 ,1045.397 ,24.044 
48,5.657+0.416,58361.6 ,8.772 ,0.019 ,95.747 ,1.859 ,5.623 ,0.018 ,968.108 ,17.749 
48,5.657+0.416,58562.6 ,8.776 ,0.019 ,95.434 ,1.831 ,5.569 ,0.018 ,1017.333 ,18.312 
48,5.657+0.416,58726.3 ,8.793 ,0.020 ,93.884 ,1.878 ,5.710 ,0.020 ,893.011 ,18.083 
48,5.657+0.416,58928.9 ,8.850 ,0.019 ,89.089 ,1.685 ,5.802 ,0.019 ,820.774 ,15.184 
48,5.657+0.416,59092.7 ,8.765 ,0.020 ,96.337 ,1.943 ,5.721 ,0.016 ,884.349 ,14.297 
48,5.657+0.416,59293.1 ,8.732 ,0.018 ,99.363 ,1.780 ,5.600 ,0.019 ,988.835 ,18.953 
48,5.657+0.416,59456.9 ,8.814 ,0.021 ,92.100 ,1.888 ,5.759 ,0.019 ,853.802 ,16.293 
50,5.885-0.393,56739.7 ,6.886 ,0.027 ,543.727 ,14.439 ,1.986 ,0.022 ,27582.571 ,619.075 
50,5.885-0.393,56920.5 ,6.747 ,0.033 ,618.242 ,20.299 ,1.859 ,0.026 ,31006.801 ,795.841 
50,5.885-0.393,57102.8 ,6.905 ,0.030 ,534.612 ,15.825 ,2.184 ,0.025 ,22973.666 ,578.936 
50,5.885-0.393,57280.3 ,6.431 ,0.030 ,827.196 ,25.023 ,1.881 ,0.024 ,30373.182 ,717.566 
50,5.885-0.393,57467.0 ,7.236 ,0.029 ,394.005 ,11.257 ,2.064 ,0.035 ,25678.031 ,891.395 
50,5.885-0.393,57638.3 ,6.716 ,0.031 ,636.148 ,19.509 ,1.895 ,0.026 ,29990.955 ,769.768 
50,5.885-0.393,57832.2 ,6.766 ,0.031 ,607.470 ,18.983 ,1.989 ,0.025 ,27495.205 ,673.633 
50,5.885-0.393,58001.9 ,6.784 ,0.032 ,597.418 ,19.356 ,1.954 ,0.022 ,28399.474 ,624.788 
50,5.885-0.393,58198.4 ,6.435 ,0.027 ,824.186 ,22.390 ,2.043 ,0.023 ,26165.174 ,593.077 
50,5.885-0.393,58362.2 ,6.524 ,0.034 ,759.484 ,25.822 ,1.862 ,0.022 ,30927.890 ,674.228 
50,5.885-0.393,58562.5 ,6.422 ,0.035 ,834.139 ,29.362 ,1.864 ,0.023 ,30859.600 ,697.427 
50,5.885-0.393,58726.4 ,6.631 ,0.030 ,687.953 ,20.639 ,1.876 ,0.029 ,30517.282 ,871.438 
50,5.885-0.393,58929.6 ,7.028 ,0.030 ,477.264 ,14.318 ,1.955 ,0.025 ,28371.089 ,717.383 
50,5.885-0.393,59093.3 ,6.921 ,0.028 ,526.888 ,14.858 ,2.330 ,0.021 ,20097.882 ,414.016 
50,5.885-0.393,59293.9 ,6.572 ,0.032 ,726.482 ,23.005 ,1.838 ,0.026 ,31617.216 ,827.317 
50,5.885-0.393,59457.6 ,6.922 ,0.026 ,526.209 ,13.418 ,2.218 ,0.021 ,22273.594 ,467.745 
54,6.539-0.108,56739.5 ,10.750 ,0.091 ,15.489 ,1.412 ,8.514 ,0.021 ,67.526 ,1.407 
54,6.539-0.108,56920.5 ,10.813 ,0.089 ,14.620 ,1.299 ,8.508 ,0.018 ,67.871 ,1.222 
54,6.539-0.108,57102.9 ,10.829 ,0.082 ,14.400 ,1.184 ,8.535 ,0.023 ,66.232 ,1.497 
54,6.539-0.108,57280.0 ,10.811 ,0.100 ,14.643 ,1.461 ,8.522 ,0.019 ,67.037 ,1.284 
54,6.539-0.108,57467.1 ,10.674 ,0.088 ,16.611 ,1.457 ,8.457 ,0.020 ,71.158 ,1.391 
54,6.539-0.108,57638.7 ,10.727 ,0.086 ,15.819 ,1.363 ,8.421 ,0.018 ,73.546 ,1.313 
54,6.539-0.108,57833.0 ,10.708 ,0.083 ,16.104 ,1.335 ,8.476 ,0.019 ,69.934 ,1.354 
54,6.539-0.108,58001.8 ,10.734 ,0.082 ,15.712 ,1.295 ,8.474 ,0.020 ,70.079 ,1.407 
54,6.539-0.108,58198.5 ,10.628 ,0.078 ,17.328 ,1.346 ,8.334 ,0.018 ,79.658 ,1.426 
54,6.539-0.108,58362.4 ,10.734 ,0.077 ,15.714 ,1.213 ,8.473 ,0.019 ,70.131 ,1.304 
54,6.539-0.108,58563.3 ,10.668 ,0.075 ,16.704 ,1.257 ,8.456 ,0.020 ,71.240 ,1.401 
54,6.539-0.108,58727.0 ,10.872 ,0.095 ,13.843 ,1.320 ,8.452 ,0.018 ,71.457 ,1.296 
54,6.539-0.108,58929.7 ,10.766 ,0.091 ,15.265 ,1.383 ,8.515 ,0.019 ,67.462 ,1.310 
54,6.539-0.108,59093.5 ,10.749 ,0.100 ,15.506 ,1.547 ,8.372 ,0.018 ,76.959 ,1.353 
54,6.539-0.108,59294.0 ,10.744 ,0.093 ,15.580 ,1.445 ,8.306 ,0.018 ,81.757 ,1.438 
54,6.539-0.108,59457.8 ,10.812 ,0.095 ,14.623 ,1.388 ,8.385 ,0.019 ,76.066 ,1.433 
55,6.588-0.192,56739.6 ,10.910 ,0.056 ,13.367 ,0.754 ,9.218 ,0.023 ,35.314 ,0.798 
55,6.588-0.192,56920.6 ,10.898 ,0.060 ,13.510 ,0.807 ,9.332 ,0.024 ,31.778 ,0.767 
55,6.588-0.192,57102.8 ,10.845 ,0.046 ,14.189 ,0.653 ,9.224 ,0.023 ,35.107 ,0.807 
55,6.588-0.192,57279.9 ,10.808 ,0.051 ,14.677 ,0.744 ,9.360 ,0.023 ,30.964 ,0.712 
55,6.588-0.192,57467.3 ,11.141 ,0.077 ,10.803 ,0.829 ,9.277 ,0.020 ,33.450 ,0.661 
55,6.588-0.192,57639.4 ,10.924 ,0.051 ,13.190 ,0.673 ,9.360 ,0.031 ,30.966 ,0.952 
55,6.588-0.192,57833.4 ,11.119 ,0.069 ,11.029 ,0.764 ,9.337 ,0.022 ,31.632 ,0.709 
55,6.588-0.192,58001.8 ,11.068 ,0.065 ,11.555 ,0.753 ,9.314 ,0.025 ,32.326 ,0.802 
55,6.588-0.192,58198.6 ,10.960 ,0.053 ,12.760 ,0.679 ,9.284 ,0.025 ,33.235 ,0.814 
55,6.588-0.192,58362.5 ,11.127 ,0.066 ,10.949 ,0.723 ,9.319 ,0.026 ,32.180 ,0.837 
55,6.588-0.192,58562.7 ,11.028 ,0.057 ,11.988 ,0.686 ,9.272 ,0.024 ,33.588 ,0.815 
55,6.588-0.192,58727.6 ,10.996 ,0.063 ,12.352 ,0.780 ,9.302 ,0.024 ,32.664 ,0.779 
55,6.588-0.192,59093.5 ,11.012 ,0.066 ,12.169 ,0.800 ,9.338 ,0.021 ,31.608 ,0.656 
55,6.588-0.192,59294.1 ,10.903 ,0.063 ,13.456 ,0.853 ,9.339 ,0.023 ,31.573 ,0.714 
55,6.588-0.192,59457.9 ,11.079 ,0.068 ,11.434 ,0.776 ,9.345 ,0.026 ,31.409 ,0.808 
60,7.601-0.139,56740.1 ,7.095 ,0.019 ,448.647 ,8.584 ,2.379 ,0.015 ,19207.476 ,294.515 
60,7.601-0.139,56921.0 ,7.027 ,0.020 ,477.501 ,9.330 ,2.274 ,0.013 ,21152.394 ,279.862 
60,7.601-0.139,57103.4 ,6.975 ,0.021 ,501.139 ,10.524 ,2.417 ,0.015 ,18537.747 ,278.066 
60,7.601-0.139,57280.6 ,6.929 ,0.023 ,522.696 ,11.879 ,2.233 ,0.016 ,21964.310 ,351.429 
60,7.601-0.139,57467.7 ,6.950 ,0.020 ,512.760 ,10.369 ,2.267 ,0.015 ,21295.076 ,321.792 
