ID_1,Name,Type,Period,Period_sig,amp,amp_sig,Frac_amp_1,Slope,Slope_sig,R^2,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Dis_err,Rad,Tdust,logLbol,logMclump,logNH2,Fmax,Fmin,Var,N,ref
774,333.315+0.105,Sin,3175.5 ,133.1 ,-0.158 ,0.010 ,-0.135 ,--,--,0.83 ,10.094 ,0.150 ,6.567 ,0.159 ,0.469 ,2.530 ,-1.118 ,0.013 ,2.84 ,0.26 ,0.71 ,23.3 ,3.92 ,2.90 ,22.86 ,13.2 ,9.6 ,1.4 ,2,"MMB,P05"
780,333.761-0.226,SL,2036.6 ,56.0 ,-0.078 ,0.005 ,-0.069 ,-7.86E-05,4.42E-06,0.89 ,9.314 ,0.067 ,6.737 ,0.098 ,0.319 ,2.537 ,--,--,3.00 ,0.24 ,0.36 ,17.4 ,2.78 ,2.46 ,22.46 ,2.7 ,2.7 ,1.0 ,1,MMB
784,334.138-0.023,SL,2166.3 ,147.4 ,-0.078 ,0.010 ,-0.069 ,-4.11E-05,9.49E-06,0.68 ,10.371 ,0.197 ,8.384 ,0.126 ,0.303 ,1.750 ,--,--,2.78 ,0.31 ,0.12 ,25.0 ,2.63 ,1.43 ,22.00 ,3.9 ,3.9 ,1.0 ,1,MMB
792,335.585-0.285,Sin,3388.2 ,423.3 ,0.112 ,0.018 ,0.108 ,--,--,0.75 ,11.474 ,0.368 ,9.146 ,0.172 ,0.349 ,1.396 ,0.090 ,0.022 ,2.93 ,0.23 ,--,--,--,--,--,110.0 ,91.0 ,1.2 ,5,"MMB,C95C,C95B,M03,W97"
793,335.585-0.289,SL,1210.4 ,37.1 ,0.050 ,0.006 ,0.047 ,4.30E-05,4.99E-06,0.72 ,10.144 ,0.072 ,6.521 ,0.082 ,0.203 ,1.556 ,0.151 ,0.022 ,3.00 ,0.25 ,--,--,--,--,--,91.0 ,91.0 ,1.0 ,1,MMB
794,335.585-0.290,SL,1346.3 ,62.0 ,0.043 ,0.006 ,0.040 ,4.34E-05,5.62E-06,0.62 ,10.144 ,0.073 ,6.522 ,0.082 ,0.203 ,1.580 ,0.151 ,0.022 ,2.94 ,0.23 ,0.84 ,23.1 ,4.29 ,3.24 ,23.39 ,54.0 ,54.0 ,1.0 ,1,MMB
798,335.824-0.177,SL,1477.2 ,34.6 ,-0.063 ,0.005 ,-0.056 ,6.56E-05,4.59E-06,0.81 ,11.785 ,0.236 ,9.524 ,0.075 ,0.258 ,1.862 ,2.765 ,0.040 ,2.62 ,0.34 ,--,--,--,--,--,1.4 ,1.4 ,1.0 ,1,MMB
802,336.433-0.262,SL,1584.8 ,49.0 ,-0.056 ,0.006 ,-0.051 ,8.78E-05,5.43E-06,0.88 ,11.609 ,0.298 ,8.685 ,0.098 ,0.251 ,2.199 ,1.600 ,0.093 ,4.50 ,0.34 ,1.80 ,24.8 ,4.86 ,3.55 ,22.60 ,46.0 ,32.0 ,1.4 ,5,"MMB,C95B,M03,P98,W97"
803,336.464-0.157,SL,5890.7 ,14858.2 ,0.164 ,1.077 ,0.163 ,1.95E-04,7.27E-04,0.82 ,11.128 ,0.243 ,8.689 ,0.096 ,0.247 ,1.498 ,1.600 ,0.066 ,4.49 ,0.33 ,0.90 ,22.6 ,3.70 ,2.77 ,22.36 ,1.2 ,1.2 ,1.0 ,1,MMB
811,336.864+0.005,Sin,18016.7 ,194173.5 ,0.333 ,6.922 ,0.359 ,--,--,0.62 ,10.514 ,0.134 ,8.588 ,0.065 ,0.106 ,1.140 ,--,--,4.44 ,0.32 ,2.06 ,--,--,--,--,66.2 ,34.0 ,1.9 ,3,"MMB,M03,P05"
814,336.941-0.156,Sin,3063.8 ,231.9 ,0.045 ,0.004 ,0.042 ,--,--,0.72 ,11.403 ,0.112 ,8.263 ,0.051 ,0.126 ,1.465 ,0.907 ,0.019 ,4.39 ,0.39 ,0.83 ,26.1 ,4.07 ,3.03 ,22.35 ,33.9 ,18.8 ,1.8 ,3,"MMB,M03,P05"
819,337.052-0.226,Sin,660.0 ,4.5 ,0.398 ,0.022 ,0.443 ,--,--,0.66 ,10.279 ,0.258 ,6.341 ,0.357 ,1.146 ,4.180 ,0.684 ,0.014 ,4.40 ,0.33 ,0.51 ,25.5 ,3.91 ,2.47 ,22.00 ,23.4 ,23.4 ,1.0 ,1,MMB
824,337.201+0.114,Sin,4463.2 ,646.5 ,0.201 ,0.040 ,0.204 ,--,--,0.85 ,11.520 ,0.194 ,8.674 ,0.099 ,0.378 ,2.977 ,1.683 ,0.025 ,11.53 ,0.34 ,0.88 ,30.8 ,4.45 ,2.98 ,22.08 ,13.9 ,13.9 ,1.0 ,1,MMB
826,337.258-0.101,Sin,3223.8 ,270.4 ,-0.056 ,0.005 ,-0.050 ,--,--,0.60 ,13.613 ,0.370 ,9.532 ,0.059 ,0.186 ,2.433 ,3.882 ,0.052 ,4.38 ,0.34 ,2.24 ,19.9 ,4.44 ,4.02 ,22.83 ,15.0 ,8.1 ,1.9 ,2,"MMB,P05"
828,337.300-0.874,SL,1271.8 ,98.0 ,-0.037 ,0.010 ,-0.033 ,2.81E-05,8.84E-06,0.63 ,10.609 ,0.139 ,8.222 ,0.112 ,0.218 ,1.334 ,2.201 ,0.044 ,9.53 ,1.37 ,0.50 ,19.6 ,3.42 ,2.84 ,22.66 ,2.0 ,2.0 ,1.0 ,1,MMB
844,338.075+0.012,SL,1212.2 ,72.7 ,-0.033 ,0.008 ,-0.030 ,-3.55E-05,6.75E-06,0.66 ,11.155 ,0.164 ,8.656 ,0.092 ,0.162 ,1.280 ,0.265 ,0.018 ,11.77 ,0.34 ,0.79 ,26.3 ,4.46 ,3.22 ,23.09 ,18.8 ,11.9 ,1.6 ,5,"MMB,C95B,M03,P05,W97"
846,338.140+0.178,Sin,2341.4 ,96.5 ,-0.056 ,0.005 ,-0.051 ,--,--,0.82 ,11.965 ,0.204 ,9.213 ,0.068 ,0.153 ,1.350 ,2.643 ,0.054 ,2.60 ,0.28 ,0.25 ,18.0 ,2.46 ,2.18 ,22.41 ,3.8 ,3.8 ,1.0 ,1,MMB
852,338.392-0.403,Sin,3431.2 ,78.1 ,-0.187 ,0.005 ,-0.158 ,--,--,0.94 ,9.869 ,0.134 ,7.222 ,0.152 ,0.447 ,3.387 ,1.531 ,0.025 ,2.60 ,0.28 ,0.63 ,19.6 ,3.26 ,2.64 ,22.43 ,3.3 ,3.3 ,1.0 ,1,MMB
855,338.461-0.245,SL,2168.5 ,146.4 ,0.055 ,0.007 ,0.052 ,-1.70E-05,6.25E-06,0.66 ,11.708 ,0.180 ,8.949 ,0.085 ,0.161 ,1.321 ,0.987 ,0.012 ,11.84 ,0.34 ,0.81 ,25.7 ,4.07 ,3.01 ,22.67 ,83.0 ,68.1 ,1.2 ,6,"MMB,C95B,M03,P05,P98,W97"
856,338.472+0.289,Sin,2452.6 ,46.1 ,0.183 ,0.008 ,0.183 ,--,--,0.85 ,10.052 ,0.171 ,6.539 ,0.151 ,0.494 ,2.481 ,0.288 ,0.020 ,2.55 ,0.31 ,0.21 ,29.7 ,3.56 ,1.92 ,22.42 ,1.4 ,0.7 ,2.0 ,3,"MMB,G93,P05"
863,338.920+0.550,SL,1796.8 ,259.7 ,-0.082 ,0.030 ,-0.073 ,1.10E-04,2.98E-05,0.65 ,8.385 ,0.126 ,5.288 ,0.317 ,0.494 ,1.180 ,-3.590 ,0.007 ,4.47 ,1.18 ,--,--,--,--,--,81.3 ,71.0 ,1.1 ,2,"MMB,P05"
879,339.762+0.054,Sin,13023.9 ,43913.5 ,-0.504 ,3.065 ,-0.371 ,--,--,0.83 ,9.532 ,0.147 ,7.982 ,0.119 ,0.363 ,1.834 ,0.486 ,0.025 ,12.14 ,0.31 ,0.56 ,26.8 ,4.15 ,2.90 ,21.92 ,12.9 ,11.7 ,1.1 ,2,"MMB,P05"
