ID_1,Name,type,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Rad,T_dust,L_bol,LogM,LogNH2,Fmax,Fmin,Var,Count,ref
685,327.402+0.445,Irregular,9.108 ,0.023 ,5.349 ,0.024 ,0.725 ,1.190 ,--,--,8.70 ,1.09 ,24.5 ,4.76 ,3.59 ,23.32 ,157.8 ,70.0 ,2.3 ,7,"MMB,C95B,M92B,M03,P05,P98,W97"
688,327.618-0.111,Irregular,9.859 ,0.018 ,7.180 ,0.013 ,0.749 ,6.635 ,0.638 ,0.016 ,5.61 ,0.47 ,17.7 ,3.26 ,2.87 ,22.62 ,6.6 ,2.0 ,3.3 ,4,"MMB,E96,M03,P05"
689,327.710-0.394,Irregular,10.071 ,0.035 ,8.945 ,0.025 ,0.399 ,1.312 ,--,--,8.76 ,0.65 ,20.0 ,3.86 ,3.11 ,22.78 ,4.2 ,4.2 ,1.0 ,1,MMB
692,327.945-0.115,Irregular,7.781 ,0.023 ,6.252 ,0.026 ,0.822 ,1.221 ,-1.281 ,0.012 ,3.04 ,0.36 ,22.7 ,3.35 ,2.57 ,22.37 ,8.8 ,7.0 ,1.3 ,2,"MMB,P05"
696,328.254-0.532,Irregular,9.789 ,0.019 ,5.736 ,0.016 ,0.437 ,1.318 ,--,--,2.86 ,1.09 ,23.5 ,4.67 ,3.60 ,23.31 ,440.0 ,425.0 ,1.0 ,5,"MMB,C95B,E96,M03,W97"
698,328.808+0.633,Drop,7.251 ,0.028 ,3.902 ,0.017 ,1.037 ,1.332 ,-3.598 ,0.007 ,2.95 ,--,--,--,--,--,390.0 ,247.6 ,1.6 ,4,"MMB,G04,M92B,W97"
699,328.809+0.633,Irregular,6.645 ,0.031 ,4.608 ,0.021 ,1.916 ,1.259 ,-3.598 ,0.007 ,2.91 ,0.67 ,32.2 ,5.13 ,3.23 ,23.51 ,425.0 ,380.0 ,1.1 ,2,"MMB,C95B"
717,329.719+1.164,Irregular,11.819 ,0.045 ,8.941 ,0.025 ,0.639 ,1.326 ,1.574 ,0.020 ,4.94 ,0.54 ,21.6 ,3.77 ,2.95 ,22.69 ,24.4 ,24.4 ,1.0 ,1,MMB
718,330.070+1.064,Irregular,10.352 ,0.021 ,7.458 ,0.014 ,0.235 ,1.329 ,-0.809 ,0.017 ,2.70 ,0.30 ,25.1 ,3.42 ,2.29 ,22.48 ,7.9 ,7.9 ,1.0 ,1,MMB
723,330.953-0.182,Irregular,10.301 ,0.020 ,7.121 ,0.012 ,0.204 ,1.519 ,--,--,5.09 ,1.24 ,32.2 ,5.78 ,3.95 ,23.79 ,7.9 ,6.5 ,1.2 ,4,"MMB,C95B,G93,W97"
727,331.132-0.244,Irregular,11.544 ,0.036 ,8.718 ,0.015 ,0.247 ,1.237 ,-0.883 ,0.022 ,5.05 ,1.21 ,23.9 ,4.78 ,3.68 ,23.41 ,43.0 ,18.9 ,2.3 ,5,"MMB,C95B,G04,M92A,W97"
737,331.710+0.603,Irregular,10.577 ,0.025 ,7.660 ,0.014 ,0.584 ,1.181 ,0.867 ,0.018 ,4.76 ,2.13 ,19.7 ,4.75 ,4.14 ,23.03 ,13.0 ,13.0 ,1.0 ,1,MMB
750,332.701-0.588,Irregular,7.113 ,0.019 ,2.684 ,0.016 ,0.570 ,1.150 ,-0.906 ,0.051 ,10.46 ,0.66 ,26.8 ,4.09 ,2.61 ,22.47 ,1.2 ,1.2 ,1.0 ,1,MMB
753,332.826-0.549,Irregular,6.787 ,0.045 ,2.360 ,0.069 ,1.752 ,1.169 ,-4.464 ,0.018 ,10.50 ,1.37 ,31.4 ,5.54 ,3.72 ,23.65 ,2.4 ,2.4 ,1.0 ,1,MMB
760,333.029-0.015,Irregular,12.943 ,0.291 ,9.708 ,0.037 ,0.165 ,1.805 ,5.533 ,--,10.66 ,0.45 ,16.8 ,2.84 ,2.77 ,22.40 ,6.1 ,3.6 ,1.7 ,3,"MMB,M03,P05"
765,333.126-0.440,Irregular,6.273 ,0.039 ,2.299 ,0.032 ,2.893 ,1.197 ,--,--,2.86 ,--,--,--,--,--,54.6 ,3.0 ,18.2 ,5,"MMB,MMB,E96,M03,P05"
767,333.135-0.431,Burst,7.961 ,0.020 ,5.992 ,0.054 ,0.921 ,1.559 ,--,--,2.96 ,1.51 ,32.0 ,5.82 ,3.96 ,23.53 ,17.0 ,1.0 ,17.0 ,2,"MMB,M92A"
770,333.163-0.101,Drop,9.116 ,0.027 ,7.292 ,0.018 ,0.155 ,1.155 ,-1.935 ,0.004 ,4.86 ,1.22 ,26.2 ,4.49 ,3.36 ,22.59 ,11.8 ,6.3 ,1.9 ,6,"MMB,C95B,E96,M03,P05,W97"
790,335.426-0.240,Irregular,11.780 ,0.089 ,6.956 ,0.013 ,0.323 ,2.938 ,1.421 ,0.031 ,2.92 ,0.74 ,19.0 ,3.37 ,3.00 ,22.84 ,91.2 ,91.2 ,1.0 ,1,MMB
791,335.556-0.307,Burst,11.266 ,0.057 ,8.818 ,0.017 ,0.245 ,2.258 ,2.397 ,0.021 ,7.26 ,--,29.8 ,--,--,21.75 ,25.0 ,14.4 ,1.7 ,4,"MMB,C95B,G04,P05"
805,336.526-0.156,Irregular,12.453 ,0.336 ,10.206 ,0.105 ,0.231 ,1.367 ,4.426 ,--,9.49 ,0.24 ,23.2 ,3.18 ,2.26 ,22.07 ,0.7 ,0.7 ,1.0 ,1,MMB
810,336.830-0.375,Irregular,11.093 ,0.034 ,8.396 ,0.014 ,0.112 ,1.492 ,--,--,2.61 ,0.09 ,28.5 ,2.71 ,1.15 ,21.99 ,41.5 ,33.9 ,1.2 ,4,"MMB,M03,P05,V95"
812,336.881+0.008,Irregular,11.927 ,0.122 ,8.708 ,0.019 ,0.992 ,7.519 ,1.192 ,0.051 ,4.41 ,0.66 ,22.6 ,3.96 ,3.02 ,22.67 ,2.5 ,2.5 ,1.0 ,1,MMB
816,336.958-0.977,Irregular,11.161 ,0.028 ,8.656 ,0.014 ,0.142 ,1.738 ,2.804 ,0.031 ,2.89 ,0.54 ,16.4 ,2.85 ,2.85 ,22.85 ,1.3 ,1.3 ,1.0 ,1,MMB
817,336.983-0.183,Drop,6.401 ,0.036 ,3.512 ,0.024 ,1.276 ,1.151 ,-2.490 ,0.011 ,4.42 ,0.54 ,30.5 ,4.24 ,2.39 ,22.31 ,18.8 ,14.9 ,1.3 ,2,"MMB,P05"
818,336.994-0.027,Irregular,12.179 ,0.157 ,8.354 ,0.023 ,0.237 ,1.962 ,--,--,7.45 ,1.45 ,29.5 ,5.24 ,3.72 ,23.21 ,38.0 ,23.7 ,1.6 ,6,"MMB,C95B,G04,M03,P05,W97"
820,337.097-0.929,Irregular,9.383 ,0.097 ,6.826 ,0.023 ,0.563 ,1.192 ,-0.354 ,0.016 ,2.65 ,0.41 ,23.3 ,3.47 ,2.49 ,22.54 ,7.5 ,7.5 ,1.0 ,1,MMB
838,337.720+0.065,Irregular,9.278 ,0.021 ,9.308 ,0.024 ,0.066 ,1.509 ,4.348 ,0.168 ,11.59 ,0.52 ,20.5 ,3.82 ,3.49 ,22.57 ,1.2 ,1.2 ,1.0 ,1,MMB
839,337.844-0.375,Drop,3.859 ,0.073 ,1.303 ,0.032 ,1.344 ,1.130 ,-3.244 ,0.009 ,2.68 ,0.45 ,33.0 ,4.41 ,2.40 ,22.62 ,4.4 ,4.4 ,1.0 ,1,MMB
843,338.069+0.011,Irregular,10.087 ,0.029 ,6.799 ,0.014 ,0.294 ,1.905 ,0.424 ,0.021 ,11.91 ,--,--,--,--,--,18.0 ,4.0 ,4.5 ,2,"MMB,W97"
